"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"HES1",-1,"NEUROG3","eU445","eD445"
"ESR1",1,"EGR1","eU446","eD446"
"MYC",-1,"CEBPA","eU447","eD447"
"CEBPA",-1,"MYC","eU448","eD448"
"NRF1",1,"NFE2L1","eU449","eD449"
"NFKB1",-1,"DDIT3","eU450","eD450"
"NFKB1",1,"RELA","eU451","eD451"
"RELA",1,"NFKB1","eU452","eD452"
"RELA",-1,"DDIT3","eU453","eD453"
"NR0B2",1,"AHR","eU454","eD454"
"DLX4",1,"TFAP2A","eU455","eD455"
"GRHL3",1,"TFAP2A","eU456","eD456"
"NKX3_1",1,"TBPL1","eU457","eD457"
"TP53",-1,"NKX3_1","eU458","eD458"
"NKX3_1",1,"TP53","eU459","eD459"
"TP53",1,"TBPL1","eU460","eD460"
"TBPL1",1,"TP53","eU461","eD461"
"HR",1,"NOTCH1","eU462","eD462"
"GATA4",1,"NR2F2","eU463","eD463"
"BCL3",1,"RELA","eU464","eD464"
"RELA",1,"BCL3","eU465","eD465"
"RBPJ",1,"NOTCH1","eU466","eD466"
"THRA",1,"CDX1","eU467","eD467"
"DNMT1",-1,"RB1","eU468","eD468"
"ZEB1",1,"VDR","eU469","eD469"
"NPAS2",1,"BMAL1","eU470","eD470"
"MTF1",1,"NFIC","eU471","eD471"
"CDX2",1,"VDR","eU472","eD472"
"CDX1",1,"VDR","eU473","eD473"
"NKX3_1",1,"AHR","eU474","eD474"
"SP1",1,"MYC","eU475","eD475"
"SP1",1,"KLF13","eU476","eD476"
"SP1",1,"SIN3A","eU477","eD477"
"KLF2",-1,"MYC","eU478","eD478"
"NFYA",1,"SP3","eU479","eD479"
"SP3",1,"NFYA","eU480","eD480"
"MYBL2",1,"RB1","eU481","eD481"
"TP53",-1,"AR","eU482","eD482"
"AR",1,"TP53","eU483","eD483"
"JUN",-1,"AR","eU484","eD484"
"AR",1,"JUN","eU485","eD485"
"NR5A2",1,"NR0B2","eU486","eD486"
"NR0B2",-1,"NR5A2","eU487","eD487"
"AR",1,"SF1","eU488","eD488"
"EGR1",1,"SF1","eU489","eD489"
"KLF4",1,"CDX2","eU490","eD490"
"CDX2",1,"KLF4","eU491","eD491"
"TP53",1,"HIPK2","eU492","eD492"
"HIPK2",-1,"TP53","eU493","eD493"
"HNF4A",1,"NR0B2","eU494","eD494"
"NR0B2",-1,"HNF4A","eU495","eD495"
"NEUROD1",1,"HES1","eU496","eD496"
"HES1",1,"NEUROD1","eU497","eD497"
"PDX1",1,"HES1","eU498","eD498"
"PAX3",1,"PHOX2A","eU499","eD499"
"PHOX2A",1,"PHOX2B","eU500","eD500"
"PHOX2B",1,"PHOX2A","eU501","eD501"
"HHEX",1,"FGF2","eU502","eD502"
"RORA",-1,"PPARG","eU503","eD503"
"STAT1",-1,"PPARG","eU504","eD504"
"ELK1",1,"FOS","eU505","eD505"
"FOS",1,"FGF2","eU506","eD506"
"CEBPB",1,"CEBPD","eU507","eD507"
"CEBPD",1,"CEBPB","eU508","eD508"
"ELK3",1,"JUN","eU509","eD509"
"ELK3",-1,"EGR1","eU510","eD510"
"RUNX1",1,"CREBBP","eU511","eD511"
"RUNX1",1,"KAT2B","eU512","eD512"
"SP1",1,"PAX6","eU513","eD513"
"ESR1",1,"THRA","eU514","eD514"
